日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-07,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2168,0
2018-06-07,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,2115,0
2018-06-07,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1646,0
2018-06-07,MOBILE-MPU2,606693,,BJ-18-027,89950,91,0.1,75021,91
2018-06-07,MOBILE-顶通,606692,,BJ-18-027,69959,61,0.09,59930,59
2018-06-07,MOBILE-顶通-补投,606694,,BJ-18-027,258682,184,0.07,212975,177
2018-06-07,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3253,0
2018-06-07,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3718,0,0,3290,0
2018-06-07,Mobile-底通,606711,,BJ-18-033,149926,41,0.03,112369,40
2018-06-07,Mobile-画中画2,606712,,BJ-18-033,79947,94,0.12,66874,90
2018-06-07,Mobile-信息流,606706,,BJ-18-033,0,7,0,0,4
2018-06-07,Mobile-专题-mpu,606719,,BJ-18-033,39153,53,0.14,28324,50
2018-06-07,Mobile-专题-顶通,606718,,BJ-18-033,47196,49,0.1,29976,41
2018-06-07,PC-HP-半幅画中画1-补投,606730,,BJ-18-033,0,1,0,0,1
2018-06-07,PC-homepage-mpu1,606644,,BJ-18-029,21991,45,0.2,19493,39
2018-06-07,PC-homepage-mpu1-补投,606657,,BJ-18-029,428030,282,0.07,155463,240
2018-06-07,PC-homepage-mpu2,606647,,BJ-18-029,34143,22,0.06,28847,12
2018-06-07,mo-topbanner,606667,,SH-18-011,139945,231,0.17,19591,193
2018-06-07,mo-topbanner-bu,606721,,SH-18-011,213968,264,0.12,170926,245
2018-06-07,mobile-mpu1,606645,,BJ-18-029,159854,343,0.21,122233,301
2018-06-07,mobile-mpu1-补投,606658,,BJ-18-029,447825,991,0.22,317098,819
2018-06-07,mobile-mpu1-补投,606740,,BJ-18-033,0,3,0,0,2
2018-06-07,mobile-mpu2,606646,,BJ-18-029,249932,238,0.1,187285,209
2018-06-07,mobile-mpu2-补投,606663,,BJ-18-029,784631,1336,0.17,531032,1123
2018-06-07,mobile-顶通-补投,606688,,BJ-18-012,0,1,0,0,1
2018-06-07,pc-hp-mpu1,606665,,SH-18-011,39558,0,0,32828,0
2018-06-07,pc-hp-mpu1-bu,606741,,SH-18-011,59589,0,0,35369,0
2018-06-07,pc-hp-半幅画中画2,606709,,BJ-18-033,41775,25,0.06,34188,23
2018-06-07,pc-hp-半幅画中画2-补投,606738,,BJ-18-033,38509,56,0.15,34177,53
2018-06-07,pc-hp-顶通,606704,,BJ-18-033,74616,40,0.05,55256,40
2018-06-07,pc-hp-顶通-补投,606739,,BJ-18-033,31429,27,0.09,20033,26
2018-06-07,pc-ribbon,606725,,BJ-18-033,74357,14,0.02,56032,13
2018-06-07,pc-ros-mpu2,606648,,BJ-18-029,34986,15,0.04,23245,15
2018-06-07,pc-ros-mpu3,606666,,SH-18-011,127839,0,0,60549,0
2018-06-07,pc-ros-半幅画中画2,606710,,BJ-18-033,134660,68,0.05,65054,68
2018-06-07,pc-专题-半幅画中画1,606714,,BJ-18-033,12046,3,0.02,7225,3
2018-06-07,pc-专题-半幅画中画2,606715,,BJ-18-033,12037,2,0.02,7213,2
2018-06-07,pc-专题-底通,606717,,BJ-18-033,11843,1,0.01,7129,1
2018-06-07,pc-专题-顶通,606713,,BJ-18-033,12083,4,0.03,7259,4
2018-06-07,pc-专题-画中画3,606716,,BJ-18-033,11867,2,0.02,7153,2
2018-06-07,pc-专题banner导流,606720,,BJ-18-033,19990,8,0.04,14377,8
2018-06-06,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2491,0,0,2276,0
2018-06-06,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2219,0
2018-06-06,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2700,0,0,2120,0
2018-06-06,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1655,0
2018-06-06,MOBILE-MPU2,606693,,BJ-18-027,89948,79,0.09,74770,77
2018-06-06,MOBILE-顶通,606692,,BJ-18-027,69959,49,0.07,59970,48
2018-06-06,MOBILE-顶通-补投,606694,,BJ-18-027,219648,155,0.07,181032,145
2018-06-06,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3297,0
2018-06-06,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3716,0,0,3303,0
2018-06-06,Mobile-画中画1,606707,,BJ-18-033,249869,321,0.13,183075,305
2018-06-06,Mobile-信息流,606706,,BJ-18-033,89957,161,0.18,68538,146
2018-06-06,Mobile-专题-mpu,606719,,BJ-18-033,3954,4,0.1,2665,4
2018-06-06,Mobile-专题-顶通,606718,,BJ-18-033,4352,8,0.18,2855,8
2018-06-06,PC-HP-半幅画中画1-补投,606730,,BJ-18-033,71790,74,0.1,51972,68
2018-06-06,PC-homepage-mpu1,606644,,BJ-18-029,21198,27,0.13,18807,17
2018-06-06,PC-homepage-mpu1-补投,606657,,BJ-18-029,598785,230,0.04,181273,206
2018-06-06,PC-homepage-mpu2,606647,,BJ-18-029,25984,9,0.03,22027,9
2018-06-06,mo-mpu2,606668,,SH-18-011,139936,115,0.08,111237,113
2018-06-06,mo-topbanner,606667,,SH-18-011,139923,223,0.16,19368,193
2018-06-06,mo-topbanner-bu,606721,,SH-18-011,191412,268,0.14,154414,249
2018-06-06,mobile-mpu1,606645,,BJ-18-029,159891,286,0.18,122026,244
2018-06-06,mobile-mpu1-补投,606740,,BJ-18-033,90929,138,0.15,70788,128
2018-06-06,mobile-mpu1-补投,606658,,BJ-18-029,285329,469,0.16,206051,401
2018-06-06,mobile-mpu2,606646,,BJ-18-029,249855,230,0.09,185943,200
2018-06-06,mobile-mpu2-补投,606663,,BJ-18-029,653237,824,0.13,441976,683
2018-06-06,pc-hp-mpu1,606665,,SH-18-011,28609,0,0,24508,0
2018-06-06,pc-hp-mpu1-bu,606741,,SH-18-011,17744,0,0,10613,0
2018-06-06,pc-hp-半幅画中画1,606703,,BJ-18-033,28611,21,0.07,24418,20
2018-06-06,pc-hp-全屏,606708,,BJ-18-033,76417,411,0.54,55562,393
2018-06-06,pc-ros-mpu2,606648,,BJ-18-029,34980,9,0.03,22488,9
2018-06-06,pc-ros-mpu3,606666,,SH-18-011,128551,0,0,58555,0
2018-06-06,pc-ros-顶通,606705,,BJ-18-033,179305,52,0.03,78429,52
2018-06-06,pc-专题-半幅画中画1,606714,,BJ-18-033,1834,0,0,1253,0
2018-06-06,pc-专题-半幅画中画2,606715,,BJ-18-033,1832,0,0,1254,0
2018-06-06,pc-专题-底通,606717,,BJ-18-033,1767,0,0,1213,0
2018-06-06,pc-专题-顶通,606713,,BJ-18-033,1841,0,0,1263,0
2018-06-06,pc-专题-画中画3,606716,,BJ-18-033,1771,0,0,1212,0
2018-06-06,pc-专题banner导流,606720,,BJ-18-033,19996,12,0.06,13682,12
2018-06-05,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2492,0,0,2366,0
2018-06-05,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2425,0,0,2298,0
2018-06-05,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,2154,0
2018-06-05,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2008,0,0,1628,0
2018-06-05,MOBILE-MPU2,606693,,BJ-18-027,119917,116,0.1,99090,112
2018-06-05,MOBILE-顶通,606692,,BJ-18-027,69927,50,0.07,60753,49
2018-06-05,MOBILE-顶通-补投,606694,,BJ-18-027,261193,174,0.07,216478,153
2018-06-05,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3442,0
